screen_id,name,module,recipe,mapping_status,source_paths
"FOS-GLOBAL-001","Splash","global","P01","PROPOSED_CONTRACT_REVIEW_REQUIRED","app/src/main/java/com/farmos/app/FarmOsSplashScreen.kt"
"FOS-GLOBAL-002","Login","global","P01","PROPOSED_CONTRACT_REVIEW_REQUIRED","app/src/main/java/com/farmos/app/FoundationAuthScreen.kt"
"FOS-GLOBAL-003","Create account","global","P01","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-GLOBAL-004","Password recovery","global","P01","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-GLOBAL-005","Farm membership selector","global","P13","PROPOSED_CONTRACT_REVIEW_REQUIRED","app/src/main/java/com/farmos/app/FoundationAuthScreen.kt"
"FOS-GLOBAL-006","Create farm wizard","global","P01","PROPOSED_CONTRACT_REVIEW_REQUIRED","app/src/main/java/com/farmos/app/FoundationAuthScreen.kt"
"FOS-GLOBAL-007","Join invited farm","global","P01","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-GLOBAL-008","First-run species setup","global","P01","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-GLOBAL-009","Role and permissions explanation","global","P11","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-GLOBAL-010","Notification permission","global","P11","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-GLOBAL-011","Camera permission","global","P11","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-GLOBAL-012","Bluetooth permission","global","P11","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-GLOBAL-013","Location permission","global","P11","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-GLOBAL-014","Offline-first introduction","global","P01","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-GLOBAL-015","Terms and privacy","global","P11","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-GLOBAL-016","Session expired","global","P15","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-GLOBAL-017","Farm access revoked","global","P15","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-GLOBAL-018","Backend unavailable","global","P15","PROPOSED_CONTRACT_REVIEW_REQUIRED","app/src/main/java/com/farmos/app/FoundationAuthScreen.kt"
"FOS-GLOBAL-019","Account profile","global","P06","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-GLOBAL-020","Sign-out confirmation","global","P12","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-HOME-001","Farm Home","home","P02","PROPOSED_CONTRACT_REVIEW_REQUIRED","app/src/main/java/com/farmos/app/FarmHomeScreen.kt"
"FOS-HOME-002","Species Navigator","home","P05","PROPOSED_CONTRACT_REVIEW_REQUIRED","app/src/main/java/com/farmos/app/SpeciesNavigatorScreen.kt"
"FOS-HOME-003","Today Summary","home","P05","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-HOME-004","Farm Alerts Centre","home","P12","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-HOME-005","Farm Activity Stream","home","P09","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-HOME-006","Global Search","home","P13","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-HOME-007","Search Results","home","P13","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-HOME-008","Quick Capture Launcher","home","P05","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-HOME-009","Sync Status Centre entry","home","P15","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-HOME-010","Farm Switcher","home","P13","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-HOME-011","Notification Centre","home","P05","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-HOME-012","Role-tailored Home","home","P04","PROPOSED_CONTRACT_REVIEW_REQUIRED","app/src/main/java/com/farmos/app/RoleDashboardScreens.kt"
"FOS-HOME-012-A","Owner Dashboard","home","P02","PROPOSED_CONTRACT_REVIEW_REQUIRED","app/src/main/java/com/farmos/app/RoleDashboardScreens.kt"
"FOS-HOME-012-B","Farm Manager Dashboard","home","P02","PROPOSED_CONTRACT_REVIEW_REQUIRED","app/src/main/java/com/farmos/app/RoleDashboardScreens.kt"
"FOS-HOME-012-C","Supervisor Dashboard","home","P04","PROPOSED_CONTRACT_REVIEW_REQUIRED","app/src/main/java/com/farmos/app/RoleDashboardScreens.kt"
"FOS-HOME-012-D","Worker My Day Dashboard","home","P03","PROPOSED_CONTRACT_REVIEW_REQUIRED","app/src/main/java/com/farmos/app/RoleDashboardScreens.kt"
"FOS-HOME-012-E","Breeding Manager Dashboard","home","P04","PROPOSED_CONTRACT_REVIEW_REQUIRED","app/src/main/java/com/farmos/app/RoleDashboardScreens.kt"
"FOS-HOME-012-F","Vet Health Dashboard","home","P04","PROPOSED_CONTRACT_REVIEW_REQUIRED","app/src/main/java/com/farmos/app/RoleDashboardScreens.kt"
"FOS-HOME-012-G","Finance Dashboard","home","P04","PROPOSED_CONTRACT_REVIEW_REQUIRED","app/src/main/java/com/farmos/app/RoleDashboardScreens.kt"
"FOS-HOME-012-H","Buyer Read-only Dashboard","home","P05","PROPOSED_CONTRACT_REVIEW_REQUIRED","app/src/main/java/com/farmos/app/RoleDashboardScreens.kt"
"FOS-GOAT-001","Goat Dashboard","goat","P04","PROPOSED_CONTRACT_REVIEW_REQUIRED","feature/goat/src/main/kotlin/com/farmos/feature/goat/GoatVerticalSliceScreen.kt | feature/goat/src/main/kotlin/com/farmos/feature/goat/GoatExperienceScreen.kt"
"FOS-GOAT-002","Herd List","goat","P05","PROPOSED_CONTRACT_REVIEW_REQUIRED","feature/goat/src/main/kotlin/com/farmos/feature/goat/GoatVerticalSliceScreen.kt | feature/goat/src/main/kotlin/com/farmos/feature/goat/GoatExperienceScreen.kt"
"FOS-GOAT-003","Goat Profile","goat","P06","PROPOSED_CONTRACT_REVIEW_REQUIRED","feature/goat/src/main/kotlin/com/farmos/feature/goat/GoatVerticalSliceScreen.kt | feature/goat/src/main/kotlin/com/farmos/feature/goat/GoatExperienceScreen.kt"
"FOS-GOAT-004","Register Goat","goat","P07","PROPOSED_CONTRACT_REVIEW_REQUIRED","feature/goat/src/main/kotlin/com/farmos/feature/goat/GoatVerticalSliceScreen.kt | feature/goat/src/main/kotlin/com/farmos/feature/goat/GoatCaptureScreens.kt"
"FOS-GOAT-005","Edit Goat Identity","goat","P07","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-GOAT-006","Goat Search","goat","P13","PROPOSED_CONTRACT_REVIEW_REQUIRED","feature/goat/src/main/kotlin/com/farmos/feature/goat/GoatVerticalSliceScreen.kt | feature/goat/src/main/kotlin/com/farmos/feature/goat/GoatCaptureScreens.kt"
"FOS-GOAT-007","RFID or Tag Scan","goat","P13","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-GOAT-008","Goat Photo or Gallery","goat","P06","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
"FOS-GOAT-009","Goat Timeline","goat","P09","PROPOSED_CONTRACT_REVIEW_REQUIRED",""
